ABS Energy,Category
315678.804,Original_data
316188.804,Original_data
316259.004,Original_data
316259.004,Original_data
316259.004,Original_data
316259.004,Original_data
316261.834,Original_data
316261.834,Original_data
316265.174,Original_data
316308.474,Original_data
316321.274,Original_data
316322.414,Original_data
316330.524,Original_data
316710.524,Original_data
316710.524,Original_data
317383.524,Original_data
317431.924,Original_data
317431.924,Original_data
317522.424,Original_data
317522.424,Original_data
317522.424,Original_data
317535.324,Original_data
317535.324,Original_data
317535.324,Original_data
317535.324,Original_data
317544.774,Original_data
317549.994,Original_data
317549.994,Original_data
317570.594,Original_data
318146.594,Original_data
318146.594,Original_data
318166.994,Original_data
318175.334,Original_data
318208.334,Original_data
318208.334,Original_data
318223.834,Original_data
318225.114,Original_data
318246.414,Original_data
318265.114,Original_data
318266.304,Original_data
318268.254,Original_data
318337.654,Original_data
318340.794,Original_data
318510.794,Original_data
318510.794,Original_data
318515.314,Original_data
318835.314,Original_data
318844.324,Original_data
318862.724,Original_data
318885.824,Original_data
318944.224,Original_data
318944.224,Original_data
318987.224,Original_data
319092.224,Original_data
319491.224,Original_data
319494.264,Original_data
319902.264,Original_data
319902.264,Original_data
319926.864,Original_data
319960.264,Original_data
319960.264,Original_data
319961.884,Original_data
319967.674,Original_data
319977.334,Original_data
319989.934,Original_data
319990.994,Original_data
320000.194,Original_data
320001.192,Original_data
320011.392,Original_data
320011.392,Original_data
320022.192,Original_data
345022.192,Original_data
345081.192,Original_data
345249.192,Original_data
345349.192,Original_data
345647.192,Original_data
346069.192,Original_data
370169.192,Original_data
374769.192,Original_data
375459.192,Original_data
376789.192,Original_data
419589.192,Original_data
427129.192,Original_data
464329.192,Original_data
469279.192,Original_data
469443.192,Original_data
472773.192,Original_data
473720.192,Original_data
474189.192,Original_data
474318.192,Original_data
474635.192,Original_data
474826.192,Original_data
477216.192,Original_data
478906.192,Original_data
478987.992,Original_data
479006.892,Original_data
479033.792,Original_data
479041.462,Original_data
479055.962,Original_data
479223.962,Original_data
479223.962,Original_data
479389.962,Original_data
483799.962,Original_data
486529.962,Original_data
486886.962,Original_data
487021.962,Original_data
488531.962,Original_data
488961.962,Original_data
490571.962,Original_data
490575.392,Original_data
493095.392,Original_data
494795.392,Original_data
497875.392,Original_data
498110.392,Original_data
501130.392,Original_data
501409.392,Original_data
502398.392,Original_data
502398.392,Original_data
503408.392,Original_data
504978.392,Original_data
505203.392,Original_data
505597.392,Original_data
505623.192,Original_data
506564.192,Original_data
507481.192,Original_data
507916.192,Original_data
508141.192,Original_data
508525.192,Original_data
508568.192,Original_data
508576.042,Original_data
508579.522,Original_data
509081.522,Original_data
509261.522,Original_data
509293.322,Original_data
509316.022,Original_data
509316.022,Original_data
509317.212,Original_data
509318.272,Original_data
509351.672,Original_data
509359.242,Original_data
509359.242,Original_data
509605.242,Original_data
509645.342,Original_data
509658.142,Original_data
509658.142,Original_data
509742.842,Original_data
509742.842,Original_data
509742.842,Original_data
509781.942,Original_data
509783.272,Original_data
509794.472,Original_data
509813.772,Original_data
509817.702,Original_data
509820.152,Original_data
509825.772,Original_data
509825.772,Original_data
509825.772,Original_data
509825.772,Original_data
509835.192,Original_data
509948.192,Original_data
509949.19,Original_data
509978.19,Original_data
510004.69,Original_data
510004.69,Original_data
510007.9,Original_data
510007.9,Original_data
510069.8,Original_data
510104.5,Original_data
510106.36,Original_data
510261.36,Original_data
510262.48,Original_data
510262.48,Original_data
510268.49,Original_data
510324.89,Original_data
510324.89,Original_data
510378.89,Original_data
510639.89,Original_data
510644.29,Original_data
510651.01,Original_data
510651.01,Original_data
510661.31,Original_data
511331.31,Original_data
511348.01,Original_data
511537.01,Original_data
513597.01,Original_data
513632.11,Original_data
513633.44,Original_data
513673.74,Original_data
513675.07,Original_data
513675.07,Original_data
513971.07,Original_data
513985.47,Original_data
513990.77,Original_data
514009.87,Original_data
514426.87,Original_data
514431.18,Original_data
514431.18,Original_data
514434.46,Original_data
514435.65,Original_data
514497.35,Original_data
514564.55,Original_data
514648.55,Original_data
514701.15,Original_data
514722.25,Original_data
514722.25,Original_data
514910.25,Original_data
514910.25,Original_data
514980.25,Original_data
514984.91,Original_data
514992.59,Original_data
515080.69,Original_data
515149.29,Original_data
515190.89,Original_data
515443.89,Original_data
515515.89,Original_data
515544.49,Original_data
515544.49,Original_data
515597.39,Original_data
515597.39,Original_data
515600.75,Original_data
515600.75,Original_data
515675.85,Original_data
515675.85,Original_data
515675.85,Original_data
515773.85,Original_data
515776.98,Original_data
515785.85,Original_data
515785.85,Original_data
515788.61,Original_data
515823.61,Original_data
515899.01,Original_data
515922.61,Original_data
515922.61,Original_data
516031.61,Original_data
516031.61,Original_data
516176.61,Original_data
516180.86,Original_data
516231.66,Original_data
516235.36,Original_data
516240.12,Original_data
516245.53,Original_data
516262.03,Original_data
516277.23,Original_data
516284.02,Original_data
